cause,explanation
Plane Crash Causes,"Illustrations on various plane crash causes. Hover to see specific cause categories."
Pilot Error,"A decision, action or inaction by a pilot or crew of an aircraft. This category includes specific causes such as improper procedure, improper procedure, and navigation error."
Improper procedure,"On March 18, 2005, a Cessna 175, N7148M was caused from the pilot's failure to follow the checklist by his failure to verify the fuel selector was in the on position which resulted in fuel starvation and the loss of engine power."
Flying VFR into IFR conditions,"Operating the aircraft under VFR means to fly a plane solely by reference to outside visual cues, such as the horizon to maintain orientation in relatively clear weather conditions. When the visual cues outside the aircraft are obscured by weather or darkness, IFR(instrument flight rules) must be used instead."
Controlled flight into terrain,"A controlled flight into terrain (CFIT) is an accident in which an airworthy aircraft, under pilot control, is unintentionally flown into the ground, a mountain, a body of water or an obstacle."
Descending below minima,"In Crossair Flight 3597 crash, The fact that Captain Loehrer made no attempt to prevent the continuation of the flight below the minimum descent altitude also directly contributed to the crash."
Spatial disorientation,"In aviation, the term means the inability to correctly interpret aircraft attitude, altitude or airspeed, in relation to the Earth or point of reference, especially after a reference point (e.g., the horizon) has been lost. Spatial disorientation is a condition in which an aircraft pilot's perception of direction does not agree with reality."
Premature descent,"When the plane was still far from its destination, a premature descent is dangerous especially when the plane was flying over mountainous terrain."
Excessive landing speed,"Executing a perfect landing with excessive airspeed is difficult because the margin of error is tiny. The pitch attitude especially must be carefully handled to prevent bouncing or ballooning. Excessive landing speed is a common factor that leads to landing accidents."
Missed runway,"Missing the runway could happen when the visibility is so foul that a pilot making a landing attempt literally can’t see well enough to land and the instrumentation being followed isn’t precise enough to put the aircraft directly over it. "
Fuel starvation,"Fuel starvation and fuel exhaustion (sometimes referred to as fuel depletion) are problems that can affect internal combustion engines fuelled by either diesel, kerosene, petroleum or any other combustible liquid or gas, causing the total cease of operation of the engine. When it occurs to aircraft in flight, it would lead to a crash."
Navigation error,"On Wednesday 7 September 2016, An AirAsia flight from Sydney to Malaysia ended up in Melbourne instead when the pilot entered the wrong coordinates into the internal navigation system."
Wrong runway takeoff or landing,"On January 30, 2001, Comair Flight 5191was assigned the airport's Runway 22 for the takeoff, but used Runway 26 instead.Runway 26 was too short for a safe takeoff, causing the aircraft to overrun the end of the runway before it could become airborne. It crashed just past the end of the runway, killing all 47 passengers and two of the three crew."
Midair collision caused by both pilots,"A mid-air collision is an aviation accident in which two or more aircraft come into unplanned contact during flight. Owing to the relatively high velocities involved and the likelihood of subsequent impact with the ground or sea, very severe damage or the total destruction of at least one of the aircraft involved usually results."
Mechanical,"This category contains engine failure, equipment failure, structural failure, design flaw, and maintenance error"
Engine failure,"On 26 August 2007, an Antonov An-32B crashed at Kongolo Airport experienced engine trouble about ten minutes after takeoff. The aircraft struck trees and crashed later, and all three crew members and 11 of the 12 passengers died."
