Year ,Standing ,Pushback / towing ,Taxi ,Takeoff ,Initial climb ,En route ,Maneuvering ,Approach ,Landing 
1900,0.375,0.0,0.125,0.25,0.0,0.125,0.0,0.0,0.125
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0
1921,0.666666666667,0.0,0.0,0.0,0.166666666667,0.166666666667,0.0,0.0,0.0
1922,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
1923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1924,0.0,0.0,0.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.333333333333
1925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1926,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1927,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1928,0.0,0.0,0.0,0.333333333333,0.0,0.555555555556,0.0,0.111111111111,0.0
1929,0.117647058824,0.0,0.0,0.117647058824,0.117647058824,0.470588235294,0.0,0.0,0.176470588235
1930,0.153846153846,0.0,0.0,0.0769230769231,0.0769230769231,0.461538461538,0.0,0.0,0.230769230769
1931,0.133333333333,0.0,0.0,0.266666666667,0.0666666666667,0.266666666667,0.0666666666667,0.0,0.2
1932,0.125,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.125
1933,0.111111111111,0.0,0.0,0.111111111111,0.0,0.666666666667,0.111111111111,0.0,0.0
1934,0.125,0.0,0.0,0.0625,0.0,0.6875,0.0,0.0,0.125
1935,0.125,0.0,0.0416666666667,0.0833333333333,0.0833333333333,0.375,0.0416666666667,0.0833333333333,0.166666666667
1936,0.107142857143,0.0,0.0,0.178571428571,0.0714285714286,0.464285714286,0.0,0.142857142857,0.0357142857143
1937,0.2,0.0,0.0,0.1,0.0333333333333,0.4,0.0,0.166666666667,0.1
1938,0.0227272727273,0.0,0.0454545454545,0.181818181818,0.0454545454545,0.477272727273,0.0227272727273,0.136363636364,0.0681818181818
1939,0.0882352941176,0.0,0.0294117647059,0.117647058824,0.0,0.411764705882,0.0588235294118,0.147058823529,0.147058823529
1940,0.365384615385,0.0,0.0192307692308,0.0961538461538,0.0,0.365384615385,0.0,0.0576923076923,0.0961538461538
1941,0.325,0.0,0.0,0.1,0.05,0.25,0.0,0.125,0.15
1942,0.194444444444,0.0,0.0,0.111111111111,0.0555555555556,0.444444444444,0.0,0.0555555555556,0.138888888889
1943,0.0697674418605,0.0,0.0,0.0,0.0697674418605,0.674418604651,0.0,0.139534883721,0.046511627907
