Year ,Standing ,Pushback / towing ,Taxi ,Takeoff ,Initial climb ,En route ,Maneuvering ,Approach ,Landing ,Total 
1900,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1920,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
1921,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
1922,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
1923,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
1924,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
1925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1926,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
1927,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
1928,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,9.0
1929,2.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,3.0,17.0
1930,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,3.0,13.0
1931,2.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,3.0,15.0
1932,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,8.0
1933,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,9.0
1934,2.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,2.0,16.0
1935,3.0,0.0,1.0,2.0,2.0,9.0,1.0,2.0,4.0,24.0
1936,3.0,0.0,0.0,5.0,2.0,13.0,0.0,4.0,1.0,28.0
1937,6.0,0.0,0.0,3.0,1.0,12.0,0.0,5.0,3.0,30.0
1938,1.0,0.0,2.0,8.0,2.0,21.0,1.0,6.0,3.0,44.0
1939,3.0,0.0,1.0,4.0,0.0,14.0,2.0,5.0,5.0,34.0
1940,19.0,0.0,1.0,5.0,0.0,19.0,0.0,3.0,5.0,52.0
1941,13.0,0.0,0.0,4.0,2.0,10.0,0.0,5.0,6.0,40.0
1942,7.0,0.0,0.0,4.0,2.0,16.0,0.0,2.0,5.0,36.0
1943,3.0,0.0,0.0,0.0,3.0,29.0,0.0,6.0,2.0,43.0
1944,2.0,0.0,0.0,6.0,1.0,26.0,0.0,7.0,4.0,46.0
1945,1.0,0.0,0.0,7.0,2.0,23.0,1.0,4.0,4.0,42.0
1946,7.0,0.0,0.0,7.0,13.0,25.0,3.0,27.0,22.0,104.0
1947,10.0,0.0,1.0,8.0,7.0,39.0,2.0,24.0,22.0,113.0
1948,8.0,0.0,0.0,15.0,7.0,55.0,1.0,22.0,26.0,134.0
1949,4.0,0.0,0.0,17.0,8.0,31.0,1.0,23.0,16.0,100.0
1950,1.0,0.0,0.0,13.0,8.0,42.0,1.0,12.0,14.0,91.0
1951,1.0,0.0,0.0,12.0,15.0,27.0,1.0,21.0,19.0,96.0
1952,1.0,0.0,0.0,7.0,9.0,31.0,2.0,12.0,18.0,80.0
1953,1.0,0.0,1.0,7.0,9.0,33.0,3.0,17.0,11.0,82.0
1954,9.0,0.0,0.0,15.0,8.0,24.0,1.0,17.0,16.0,90.0
1955,1.0,0.0,0.0,11.0,6.0,37.0,0.0,14.0,9.0,78.0
1956,8.0,0.0,0.0,4.0,8.0,31.0,0.0,15.0,12.0,78.0
1957,3.0,0.0,2.0,4.0,8.0,28.0,3.0,18.0,17.0,83.0
1958,11.0,0.0,1.0,4.0,11.0,39.0,1.0,16.0,10.0,93.0
1959,2.0,0.0,0.0,9.0,4.0,33.0,2.0,22.0,13.0,85.0
1960,1.0,0.0,2.0,9.0,9.0,34.0,1.0,24.0,16.0,96.0
1961,5.0,0.0,1.0,8.0,8.0,35.0,3.0,20.0,22.0,102.0
1962,4.0,0.0,0.0,11.0,11.0,41.0,1.0,20.0,17.0,105.0
1963,9.0,0.0,1.0,9.0,1.0,31.0,3.0,24.0,4.0,82.0
1964,12.0,0.0,1.0,12.0,7.0,21.0,2.0,16.0,26.0,97.0
1965,2.0,0.0,0.0,11.0,7.0,37.0,2.0,18.0,17.0,94.0
1966,2.0,0.0,2.0,14.0,6.0,27.0,4.0,23.0,12.0,90.0
1967,4.0,0.0,1.0,8.0,12.0,29.0,2.0,21.0,18.0,95.0
1968,8.0,0.0,0.0,8.0,10.0,37.0,7.0,34.0,16.0,120.0
1969,11.0,0.0,4.0,14.0,11.0,80.0,4.0,31.0,36.0,191.0
1970,10.0,0.0,1.0,14.0,13.0,63.0,2.0,24.0,35.0,162.0
1971,7.0,0.0,2.0,10.0,9.0,34.0,4.0,31.0,22.0,119.0
1972,6.0,0.0,1.0,12.0,13.0,44.0,3.0,37.0,24.0,140.0
1973,12.0,0.0,1.0,11.0,11.0,36.0,1.0,27.0,36.0,135.0
1974,18.0,0.0,2.0,13.0,9.0,29.0,5.0,34.0,18.0,128.0
1975,14.0,0.0,2.0,19.0,13.0,21.0,0.0,26.0,30.0,125.0
1976,17.0,0.0,2.0,11.0,9.0,36.0,5.0,21.0,20.0,121.0
1977,7.0,0.0,7.0,14.0,16.0,38.0,3.0,29.0,27.0,141.0
1978,6.0,0.0,3.0,15.0,14.0,34.0,1.0,22.0,26.0,121.0
1979,9.0,0.0,2.0,19.0,11.0,33.0,1.0,33.0,33.0,141.0
1980,8.0,0.0,1.0,9.0,8.0,31.0,1.0,26.0,27.0,111.0
1981,13.0,0.0,4.0,10.0,9.0,40.0,2.0,19.0,23.0,120.0
1982,20.0,0.0,5.0,15.0,8.0,43.0,3.0,20.0,16.0,130.0
1983,9.0,0.0,7.0,17.0,10.0,52.0,3.0,26.0,21.0,145.0
1984,8.0,0.0,2.0,12.0,10.0,41.0,1.0,21.0,27.0,122.0
1985,13.0,0.0,2.0,12.0,16.0,38.0,5.0,25.0,18.0,129.0
1986,11.0,0.0,3.0,11.0,2.0,23.0,3.0,34.0,16.0,103.0
1987,5.0,1.0,3.0,11.0,7.0,38.0,2.0,32.0,33.0,132.0
1988,4.0,0.0,3.0,17.0,9.0,36.0,1.0,37.0,24.0,131.0
1989,28.0,0.0,1.0,15.0,9.0,35.0,4.0,34.0,35.0,161.0
1990,3.0,1.0,0.0,13.0,9.0,18.0,3.0,26.0,37.0,110.0
1991,16.0,0.0,0.0,11.0,10.0,49.0,3.0,25.0,27.0,141.0
1992,19.0,0.0,3.0,22.0,10.0,32.0,2.0,25.0,33.0,146.0
1993,14.0,1.0,2.0,15.0,14.0,52.0,4.0,26.0,39.0,167.0
1994,16.0,0.0,1.0,22.0,9.0,29.0,3.0,27.0,43.0,150.0
1995,3.0,0.0,3.0,18.0,9.0,24.0,1.0,40.0,51.0,149.0
1996,3.0,0.0,5.0,17.0,7.0,45.0,4.0,32.0,47.0,160.0
1997,3.0,0.0,3.0,22.0,6.0,36.0,3.0,36.0,55.0,164.0
1998,20.0,0.0,8.0,21.0,9.0,38.0,3.0,39.0,36.0,174.0
1999,10.0,1.0,2.0,17.0,6.0,47.0,1.0,26.0,53.0,163.0
2000,14.0,1.0,1.0,14.0,11.0,37.0,1.0,24.0,42.0,145.0
2001,13.0,0.0,4.0,13.0,12.0,47.0,2.0,25.0,49.0,165.0
2002,16.0,0.0,3.0,19.0,4.0,52.0,2.0,35.0,50.0,181.0
2003,13.0,1.0,4.0,20.0,11.0,36.0,7.0,32.0,56.0,180.0
2004,7.0,0.0,3.0,35.0,6.0,37.0,1.0,24.0,48.0,161.0
2005,21.0,1.0,4.0,15.0,18.0,34.0,2.0,22.0,62.0,179.0
2006,14.0,2.0,1.0,10.0,7.0,38.0,3.0,17.0,66.0,158.0
2007,15.0,0.0,5.0,19.0,15.0,42.0,1.0,15.0,69.0,181.0
2008,12.0,0.0,4.0,21.0,8.0,41.0,1.0,22.0,58.0,167.0
2009,8.0,0.0,5.0,13.0,10.0,27.0,1.0,23.0,61.0,148.0
2010,18.0,0.0,1.0,14.0,12.0,24.0,2.0,15.0,66.0,152.0
2011,17.0,0.0,3.0,7.0,5.0,22.0,4.0,17.0,48.0,123.0
2012,14.0,1.0,5.0,8.0,6.0,14.0,0.0,18.0,62.0,128.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1.0,0.0,0.0,3.0,0.0,9.0,0.0,7.0,18.0,38.0
