year,nature,departure,destination_country,accident_country,total_fatalities
1919,Passenger,Italy,Italy,Italy,14
1920,Demonstration,Sweden,Norway,Sweden,0
1920,International Scheduled Passenger,United Kingdom,France,United Kingdom,4
1922,International Scheduled Passenger,United Kingdom,France,France,5
1922,International Scheduled Passenger,France,United Kingdom,France,5
1923,International Scheduled Passenger,United States of America,,Atlantic Ocean,4
1923,International Scheduled Passenger,France,United Kingdom,France,6
1923,International Scheduled Passenger,United Kingdom,France,France,0
1923,International Scheduled Passenger,France,United Kingdom,United Kingdom,1
1924,International Scheduled Passenger,France,United Kingdom,United Kingdom,0
1924,International Scheduled Passenger,Netherlands,,Netherlands,0
1926,International Scheduled Passenger,France,United Kingdom,United Kingdom,4
1926,International Scheduled Passenger,France,United Kingdom,United Kingdom,7
1926,International Scheduled Passenger,United Kingdom,France,United Kingdom,0
1927,International Scheduled Passenger,United Kingdom,Netherlands,United Kingdom,1
1928,International Scheduled Passenger,France,,United Kingdom,2
1928,International Scheduled Passenger,Germany,Netherlands,Netherlands,0
1928,International Scheduled Passenger,Canada,United States of America,United States of America,6
1928,Domestic Non Scheduled Passenger,United States of America,United States of America,United States of America,5
1929,Domestic Scheduled Passenger,United States of America,,United States of America,14
1929,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,5
1929,International Scheduled Passenger,United Kingdom,France,United Kingdom,7
1929,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,8
1929,Domestic Scheduled Passenger,Italy,Italy,Italy,7
1929,International Scheduled Passenger,United Kingdom,Netherlands,United Kingdom,7
1929,Demonstration,United States of America,United States of America,United States of America,0
1930,International Scheduled Passenger,Mexico,United States of America,United States of America,16
1930,International Scheduled Passenger,France,United Kingdom,United Kingdom,2
1930,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,1
1930,Domestic Scheduled Passenger,Czech Republic,Czech Republic,Czech Republic,12
1930,International Scheduled Passenger,France,United Kingdom,France,3
1931,Training,United Kingdom,United Kingdom,United Kingdom,0
1931,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,0
1931,International Scheduled Passenger,Egypt,,Egypt,0
1931,International Scheduled Passenger,Netherlands,Netherlands,Netherlands,0
1931,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,6
1931,Ferry/positioning,United States of America,,United States of America,1
1932,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,0
1932,International Scheduled Passenger,Chile,Argentina,Chile,9
1933,International Scheduled Passenger,Belgium,United Kingdom,Belgium,15
1934,Domestic Scheduled Passenger,France,France,France,10
1934,International Scheduled Passenger,Peru,,Peru,3
1934,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,7
1934,International Scheduled Passenger,Argentina,Chile,Argentina,6
1934,Passenger,Switzerland,Germany,Germany,12
1934,Domestic Scheduled Passenger,Australia,Australia,Australia,11
1934,Domestic Scheduled Passenger,Cuba,Cuba,Cuba,4
1934,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,0
1935,Domestic Scheduled Passenger,Russia,Germany,Germany,11
1935,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,5
1935,Demonstration,Russia,Russia,Russia,35
1935,Domestic Non Scheduled Passenger,United States of America,United States of America,United States of America,3
1935,International Scheduled Passenger,Italy,Malta,Malta,0
1935,Domestic Scheduled Passenger,Colombia,Colombia,Colombia,10
1935,Domestic Scheduled Passenger,Colombia,Colombia,Colombia,7
1935,International Scheduled Passenger,Netherlands,Germany,Netherlands,6
1935,Passenger,Iran,,Iraq,0
1935,International Scheduled Passenger,Italy,Germany,Switzerland,13
1935,Domestic Scheduled Passenger,Australia,Australia,Australia,5
1935,Domestic Non Scheduled Passenger,United States of America,United States of America,United States of America,1
1935,International Scheduled Passenger,Belgium,United Kingdom,United Kingdom,0
1935,International Scheduled Passenger,Italy,Egypt,Italy,0
1935,Passenger,Uganda,South Sudan,Uganda,0
1935,International Scheduled Passenger,Belgium,United Kingdom,United Kingdom,11
1935,Domestic Scheduled Passenger,France,France,France,0
1936,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,17
1936,Domestic Scheduled Passenger,Bolivia,Bolivia,Bolivia,13
1936,International Scheduled Passenger,Switzerland,United Kingdom,Switzerland,0
1936,Domestic Scheduled Passenger,China,China,China,0
1936,Passenger,Germany,,Switzerland,3
1936,International Scheduled Passenger,Czech Republic,Netherlands,Netherlands,0
1936,International Scheduled Passenger,France,Algeria,Mediterranean Sea,0
1936,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,0
1936,International Scheduled Passenger,Sweden,Sweden,Sweden,1
1936,Domestic Scheduled Passenger,Norway,Norway,Norway,7
1936,Passenger,Chile,,Chile,0
1936,Domestic Scheduled Passenger,Germany,Germany,Germany,11
1936,Domestic Scheduled Passenger,Germany,Germany,Germany,4
1936,International Scheduled Passenger,United Kingdom,Netherlands,United Kingdom,15
1936,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,0
1936,Domestic Scheduled Passenger,China,,China,0
1937,International Scheduled Passenger,Algeria,Algeria,Algeria,12
1937,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,11
1937,International Scheduled Passenger,United Kingdom,Germany,Germany,3
1937,Ferry/positioning,United States of America,United States of America,United States of America,8
1937,Domestic Scheduled Passenger,South Africa,,South Africa,1
1937,International Scheduled Passenger,Belgium,France,Belgium,15
1937,International Scheduled Passenger,Colombia,Panama,Panama,14
1937,International Scheduled Passenger,Hong Kong,China,China,3
1937,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,4
1937,Passenger,Egypt,,Greece,2
1937,International Scheduled Passenger,Indonesia,Singapore,Indonesia,4
1937,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,19
1937,International Scheduled Passenger,Belgium,United Kingdom,Belgium,11
1937,International Scheduled Passenger,Greece,Bulgaria,Bulgaria,6
1937,International Scheduled Passenger,Germany,Germany,Germany,4
1937,International Scheduled Passenger,Italy,,Italy,2
1937,Domestic Scheduled Passenger,France,France,France,2
1938,International Scheduled Passenger,Italy,Germany,Germany,6
1938,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,10
1938,Domestic Scheduled Passenger,France,France,France,7
1938,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,9
1938,International Scheduled Passenger,India,India,India,7
1938,International Scheduled Passenger,Algeria,France,France,8
1938,Domestic Scheduled Passenger,Albania,Italy,Italy,19
1938,Ferry/positioning,United States of America,United States of America,United States of America,9
1938,Domestic Scheduled Passenger,Brazil,,Brazil,6
1938,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,10
1938,International Scheduled Passenger,Peru,Bolivia,Peru,7
1938,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,1
1938,Domestic Scheduled Passenger,Italy,Italy,Mediterranean Sea,20
1938,International Scheduled Passenger,Argentina,Paraguay,Argentina,0
1938,International Scheduled Passenger,Guam,Philippines,Pacific Ocean,15
1938,International Scheduled Passenger,Romania,,Romania,0
1938,Domestic Non Scheduled Passenger,Hungary,Hungary,Hungary,12
1938,International Scheduled Passenger,Czech Republic,France,Germany,17
1938,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,9
1938,International Scheduled Passenger,Poland,Romania,Romania,0
1938,Domestic Scheduled Passenger,Hong Kong,China,China,14
1938,International Scheduled Passenger,Germany,Italy,Switzerland,13
1938,International Scheduled Passenger,Germany,Germany,Germany,20
1938,Domestic Scheduled Passenger,Australia,Australia,Australia,18
1938,Domestic Scheduled Passenger,United Kingdom,United Kingdom,United Kingdom,13
1938,International Scheduled Passenger,Germany,Netherlands,Netherlands,6
1938,International Scheduled Passenger,Germany,Italy,Austria,4
1938,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,5
1938,Training,Netherlands,Netherlands,Netherlands,4
1938,Domestic Scheduled Passenger,Ecuador,Ecuador,Ecuador,0
1939,International Scheduled Passenger,Switzerland,France,France,5
1939,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,4
1939,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,10
1939,Survey/research,Colombia,,Colombia,4
1939,Passenger,Australia,Australia,Australia,4
1939,International Scheduled Passenger,United States of America,Bermuda,Atlantic Ocean,3
1939,International Scheduled Passenger,Dominican Republic,Puerto Rico,Puerto Rico,0
1939,Domestic Scheduled Passenger,China,China,China,0
1939,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,8
1939,International Scheduled Passenger,Senegal,Morocco,Morocco,9
1939,Training,Netherlands,Netherlands,Netherlands,0
1939,Passenger,France,Morocco,Spain,7
1939,International Scheduled Passenger,United Kingdom,,France,0
1939,International Scheduled Passenger,Brazil,Brazil,Brazil,14
1939,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,18
1939,International Scheduled Passenger,Spain,Morocco,Gibraltar,10
1939,International Scheduled Passenger,Malta,United Kingdom,Malta,5
1940,Passenger,Indonesia,,Indonesia,8
1940,Domestic Scheduled Passenger,Italy,Italy,Italy,10
1940,International Scheduled Passenger,Pakistan,United Arab Emirates,Indian Ocean,8
1940,Domestic Scheduled Passenger,Mexico,Mexico,Mexico,0
1940,International Scheduled Passenger,Italy,Italy,Italy,0
1940,Ferry/positioning,United Kingdom,United Kingdom,United Kingdom,3
1940,International Scheduled Passenger,Spain,Spain,Spain,8
1940,Ferry/positioning,France,United Kingdom,United Kingdom,0
1940,International Scheduled Passenger,France,United Kingdom,France,1
1940,International Scheduled Passenger,Estonia,Finland,Estonia,9
1940,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,25
1940,International Scheduled Passenger,Spain,Morocco,Spain,0
1940,Domestic Scheduled Passenger,China,China,China,9
1940,Scheduled Passenger,Germany,,Germany,2
1940,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,10
1940,Domestic Scheduled Passenger,Bolivia,Bolivia,Bolivia,14
1940,International Scheduled Passenger,Germany,Hungary,Germany,29
1940,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,18
1940,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,10
1941,International Scheduled Passenger,Brazil,Cape Verde,Brazil,10
1941,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,2
1941,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,7
1941,Passenger,Norway,Norway,Norway,3
1941,Domestic Scheduled Passenger,Namibia,South Africa,South Africa,10
1941,International Scheduled Passenger,Romania,Bulgaria,Romania,0
1941,Training,Brazil,Brazil,Brazil,0
1941,Domestic Scheduled Passenger,Italy,Italy,Italy,5
1941,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,8
1941,Domestic Scheduled Passenger,France,France,France,15
1941,International Scheduled Passenger,Dominican Republic,Puerto Rico,Puerto Rico,2
1941,Passenger,Greece,Bulgaria,Bulgaria,13
1941,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,14
1941,Domestic Scheduled Passenger,United States of America,United States of America,Canada,20
1942,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,22
1942,Domestic Scheduled Passenger, United States of America,United States of America,United States of America,22
1942,Ferry/positioning,Australia,Papua New Guinea,Australia,2
1942,Domestic Scheduled Passenger,Australia,Australia,Australia,9
1942,Domestic Non Scheduled Passenger,Australia,Australia,Australia,12
1942,International Scheduled Passenger,France,Algeria,Algeria,4
1942,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,15
1942,Ferry/positioning,China,India,China,3
1942,International Scheduled Passenger,Libya,United States of America,Italy,4
1942,International Scheduled Passenger,Portugal,Spain,Spain,0
1942,Domestic Scheduled Passenger,Canada,Canada,Canada,13
1943,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,19
1943,Domestic Scheduled Passenger,Peru,Peru,Peru,14
1943,International Scheduled Passenger,Serbia,Italy,Italy,5
1943,International Scheduled Passenger,Portugal,Portugal,Portugal,24
1943,Domestic Scheduled Passenger,Australia,Australia,Australia,0
1943,International Scheduled Passenger,Portugal,United Kingdom,Atlantic Ocean,17
1943,Passenger,China,Italy,China,0
1943,Domestic Scheduled Passenger, United States of America,United States of America,United States of America,20
1943,Passenger,Portugal,United States of America,Ireland,10
1943,Domestic Scheduled Passenger,Brazil,Brazil,Brazil,18
1943,International Scheduled Passenger,United Kingdom,Sweden,Atlantic Ocean,7
1943,Domestic Scheduled Passenger,United States of America,United States of America,United States of America,11
1943,International Scheduled Passenger,United Kingdom,Sweden,Sweden,13
1943,International Scheduled Passenger, Egypt,Algeria,Libya,19
1943,Domestic Scheduled Passenger,United States of America,Saudi Arabia,United States of America,0
1943,International Scheduled Passenger, Papua New Guinea,Brazil,Papua New Guinea,15
